name	formula	exactmass	adduct	mz
TG(43:0)	C46H88O6	736.6580906	[M+NH4]+	754.6919161
TG(43:1)	C46H86O6	734.6424405	[M+Na]+	757.6316612
TG(43:1)	C46H86O6	734.6424405	[M+NH4]+	752.676266
TG(43:2)	C46H84O6	732.6267904	[M+Na]+	755.6160111
TG(43:2)	C46H84O6	732.6267904	[M+NH4]+	750.660616
TG(43:3)	C46H82O6	730.6111404	[M+Na]+	753.6003611
TG(43:3)	C46H82O6	730.6111404	[M+NH4]+	748.6449659
TG(43:4)	C46H80O6	728.5954903	[M+Na]+	751.584711
TG(43:4)	C46H80O6	728.5954903	[M+NH4]+	746.6293158
TG(44:0)	C47H90O6	750.6737406	[M+Na]+	773.6629613
TG(44:0)	C47H90O6	750.6737406	[M+NH4]+	768.7075662
TG(44:1)	C47H88O6	748.6580906	[M+Na]+	771.6473113
TG(44:1)	C47H88O6	748.6580906	[M+NH4]+	766.6919161
TG(44:2)	C47H86O6	746.6424405	[M+Na]+	769.6316612
TG(44:2)	C47H86O6	746.6424405	[M+NH4]+	764.676266
TG(44:3)	C47H84O6	744.6267904	[M+Na]+	767.6160111
TG(44:3)	C47H84O6	744.6267904	[M+NH4]+	762.660616
TG(44:4)	C47H82O6	742.6111404	[M+Na]+	765.6003611
TG(44:4)	C47H82O6	742.6111404	[M+NH4]+	760.6449659
TG(44:5)	C47H80O6	740.5954903	[M+Na]+	763.584711
TG(44:5)	C47H80O6	740.5954903	[M+NH4]+	758.6293158
TG(45:0)	C48H92O6	764.6893907	[M+Na]+	787.6786114
TG(45:0)	C48H92O6	764.6893907	[M+NH4]+	782.7232162
TG(45:1)	C48H90O6	762.6737406	[M+Na]+	785.6629613
TG(45:1)	C48H90O6	762.6737406	[M+NH4]+	780.7075662
TG(45:2)	C48H88O6	760.6580906	[M+Na]+	783.6473113
TG(45:2)	C48H88O6	760.6580906	[M+NH4]+	778.6919161
TG(45:3)	C48H86O6	758.6424405	[M+Na]+	781.6316612
TG(45:3)	C48H86O6	758.6424405	[M+NH4]+	776.676266
TG(45:4)	C48H84O6	756.6267904	[M+Na]+	779.6160111
TG(45:4)	C48H84O6	756.6267904	[M+NH4]+	774.660616
TG(45:5)	C48H82O6	754.6111404	[M+Na]+	777.6003611
TG(45:5)	C48H82O6	754.6111404	[M+NH4]+	772.6449659
TG(46:0)	C49H94O6	778.7050407	[M+Na]+	801.6942614
TG(46:0)	C49H94O6	778.7050407	[M+NH4]+	796.7388663
TG(46:1)	C49H92O6	776.6893907	[M+Na]+	799.6786114
TG(46:1)	C49H92O6	776.6893907	[M+NH4]+	794.7232162
TG(46:2)	C49H90O6	774.6737406	[M+Na]+	797.6629613
TG(46:2)	C49H90O6	774.6737406	[M+NH4]+	792.7075662
TG(46:3)	C49H88O6	772.6580906	[M+Na]+	795.6473113
TG(46:3)	C49H88O6	772.6580906	[M+NH4]+	790.6919161
TG(46:4)	C49H86O6	770.6424405	[M+Na]+	793.6316612
TG(46:4)	C49H86O6	770.6424405	[M+NH4]+	788.676266
TG(46:5)	C49H84O6	768.6267904	[M+Na]+	791.6160111
TG(46:5)	C49H84O6	768.6267904	[M+NH4]+	786.660616
TG(47:0)	C50H96O6	792.7206908	[M+Na]+	815.7099115
TG(47:0)	C50H96O6	792.7206908	[M+NH4]+	810.7545164
TG(47:1)	C50H94O6	790.7050407	[M+Na]+	813.6942614
TG(47:1)	C50H94O6	790.7050407	[M+NH4]+	808.7388663
TG(47:2)	C50H92O6	788.6893907	[M+Na]+	811.6786114
TG(47:2)	C50H92O6	788.6893907	[M+NH4]+	806.7232162
TG(47:3)	C50H90O6	786.6737406	[M+Na]+	809.6629613
TG(47:3)	C50H90O6	786.6737406	[M+NH4]+	804.7075662
TG(47:4)	C50H88O6	784.6580906	[M+Na]+	807.6473113
TG(47:4)	C50H88O6	784.6580906	[M+NH4]+	802.6919161
TG(47:5)	C50H86O6	782.6424405	[M+Na]+	805.6316612
TG(47:5)	C50H86O6	782.6424405	[M+NH4]+	800.676266
TG(48:0)	C51H98O6	806.7363409	[M+Na]+	829.7255616
TG(48:0)	C51H98O6	806.7363409	[M+NH4]+	824.7701664
TG(48:1)	C51H96O6	804.7206908	[M+Na]+	827.7099115
TG(48:1)	C51H96O6	804.7206908	[M+NH4]+	822.7545164
TG(48:2)	C51H94O6	802.7050407	[M+Na]+	825.6942614
TG(48:2)	C51H94O6	802.7050407	[M+NH4]+	820.7388663
TG(48:3)	C51H92O6	800.6893907	[M+Na]+	823.6786114
TG(48:3)	C51H92O6	800.6893907	[M+NH4]+	818.7232162
TG(48:4)	C51H90O6	798.6737406	[M+Na]+	821.6629613
TG(48:4)	C51H90O6	798.6737406	[M+NH4]+	816.7075662
TG(48:5)	C51H88O6	796.6580906	[M+Na]+	819.6473113
TG(48:5)	C51H88O6	796.6580906	[M+NH4]+	814.6919161
