id	lipid	formula	adduct	template_file
Lipid00239	PA(16:0_16:0)	C35H69O8P	NA	NA
Lipid00240	PA(12:0_19:1)	C34H65O8P	NA	NA
Lipid00241	PA(12:0_19:0)	C34H67O8P	NA	NA
Lipid00242	PA(13:0_18:4)	C34H59O8P	NA	NA
Lipid00243	PA(13:0_18:3)	C34H61O8P	NA	NA
Lipid00244	PA(13:0_18:2)	C34H63O8P	NA	NA
Lipid00245	PA(13:0_18:1)	C34H65O8P	NA	NA
Lipid00246	PA(13:0_18:0)	C34H67O8P	NA	NA
Lipid00247	PA(14:0_17:1)	C34H65O8P	NA	NA
Lipid00248	PA(14:0_17:0)	C34H67O8P	NA	NA
Lipid00249	PA(15:0_16:1)	C34H65O8P	NA	NA
Lipid00250	PA(15:0_16:0)	C34H67O8P	NA	NA
Lipid00251	PA(12:0_18:4)	C33H57O8P	NA	NA
Lipid00252	PA(12:0_18:3)	C33H59O8P	NA	NA
Lipid00253	PA(12:0_18:2)	C33H61O8P	NA	NA
Lipid00254	PA(12:0_18:1)	C33H63O8P	NA	NA
Lipid00255	PA(12:0_18:0)	C33H65O8P	NA	NA
Lipid00256	PA(13:0_17:1)	C33H63O8P	NA	NA
Lipid00257	PA(13:0_17:0)	C33H65O8P	NA	NA
Lipid00258	PA(14:0_16:1)	C33H63O8P	NA	NA
Lipid00259	PA(14:0_16:0)	C33H65O8P	NA	NA
Lipid00260	PA(15:0_15:0)	C33H65O8P	NA	NA
Lipid00261	PA(12:0_17:1)	C32H61O8P	NA	NA
Lipid00262	PA(12:0_17:0)	C32H63O8P	NA	NA
Lipid00263	PA(13:0_16:1)	C32H61O8P	NA	NA
Lipid00264	PA(13:0_16:0)	C32H63O8P	NA	NA
Lipid00265	PA(14:0_15:0)	C32H63O8P	NA	NA
Lipid00266	PA(12:0_16:1)	C31H59O8P	NA	NA
Lipid00267	PA(12:0_16:0)	C31H61O8P	NA	NA
Lipid00268	PA(13:0_15:0)	C31H61O8P	NA	NA
Lipid00269	PA(14:0_14:0)	C31H61O8P	NA	NA
Lipid00270	PA(12:0_15:0)	C30H59O8P	NA	NA
Lipid00271	PA(13:0_14:0)	C30H59O8P	NA	NA
Lipid00272	PA(12:0_14:0)	C29H57O8P	NA	NA
Lipid00273	PA(13:0_13:0)	C29H57O8P	NA	NA
Lipid00274	PA(12:0_13:0)	C28H55O8P	NA	NA
