name	formula	exactmass	adduct	mz
PC(O-34:3)	C42H80NO7P	741.5672409	[M+FA-H]-	786.5654438
PC(O-34:2)	C42H82NO7P	743.582891	[M+FA-H]-	788.5810938
PC(O-33:0)	C41H84NO7P	733.598541	[M+FA-H]-	778.5967439
PC(O-33:1)	C41H82NO7P	731.582891	[M+FA-H]-	776.5810938
PC(O-32:0)	C40H82NO7P	719.582891	[M+FA-H]-	764.5810938
PC(O-32:1)	C40H80NO7P	717.5672409	[M+FA-H]-	762.5654438
PC(O-31:0)	C39H80NO7P	705.5672409	[M+FA-H]-	750.5654438
PC(O-30:0)	C38H78NO7P	691.5515909	[M+FA-H]-	736.5497937
PC(O-29:0)	C37H76NO7P	677.5359408	[M+FA-H]-	722.5341436
PC(O-28:0)	C36H74NO7P	663.5202907	[M+FA-H]-	708.5184936
PC(O-20:0)	C28H60NO6P	537.4158257	[M+FA-H]-	582.4140285
PC(O-18:0)	C26H56NO6P	509.3845255	[M+FA-H]-	554.3827284
PC(O-16:0)	C24H52NO6P	481.3532254	[M+FA-H]-	526.3514282
NAPE(60:15)	C65H98NO9P	1067.697921	[M-H]-	1066.690644
NAPE(60:14)	C65H100NO9P	1069.713571	[M-H]-	1068.706294
NAPE(58:14)	C63H96NO9P	1041.682271	[M-H]-	1040.674994
NAPE(58:13)	C63H98NO9P	1043.697921	[M-H]-	1042.690644
